image_id,rule_proxy_transition,baseline_semantic_correct,intervention_semantic_correct,semantic_transition,ai_confidence,ai_notes,human_confirmation,human_notes
2408623,intervention_only_success,no,yes,intervention_helps,high,干预将虚构的backpack位置纠正为图中不存在backpack。,,
2402123,intervention_only_success,no,yes,intervention_helps,high,干预停止虚构bridge材质并指出图像不提供bridge证据。,,
2401850,intervention_only_success,no,yes,intervention_helps,high,干预由无关建筑描述改为明确指出没有visible pillars。,,
2401710,baseline_only_success,yes,yes,semantic_tie,high,干预回答0仍正确表达图中没有汽车；显式拒绝规则漏掉了零计数。,,
2393697,intervention_only_success,no,yes,intervention_helps,high,干预由猜测man/woman改为指出图中不存在被观看的painting。,,
2396910,intervention_only_success,no,yes,intervention_helps,high,干预由猜测blue items类别改为指出墙上没有blue items。,,
2401906,intervention_only_success,no,yes,intervention_helps,high,干预由回答虚构red sticker的文字颜色改为指出没有red sticker。,,
2402736,baseline_only_success,yes,no,intervention_harms,high,原始回答正确纠正bus为train；干预反而回答bus坐落在tracks上。,,
2402350,intervention_only_success,no,yes,intervention_helps,high,干预由猜测book位置改为指出没有book。,,
2408970,intervention_only_success,yes,yes,semantic_tie,medium,两种回答都指出问题与图中zebras不匹配；原规则因基线措辞截断而漏判。,,
2405342,baseline_only_success,yes,yes,semantic_tie,high,干预回答0仍正确表达没有bicycles；显式拒绝规则漏掉了零计数。,,
2403851,intervention_only_success,yes,yes,semantic_tie,medium,两种回答都说明图中只有cows；干预表达更直接但语义结论未改变。,,
2405568,intervention_only_success,no,yes,intervention_helps,high,干预由猜测box内容改为指出图中没有box。,,
2407206,intervention_only_success,no,no,semantic_tie,medium,两种回答都把无法给出颜色归因于黑白图像而未指出skateboard不存在；原规则是假阳性。,,
