image_id,conflict_type,image_file,conflict_question,conflict_answer,clean_question,clean_answer,key_component,key_component_relationships,key_component_attributes,conflict_is_real,conflict_answer_correct,clean_answer_correct,image_quality_ok,template_leakage,issue_type,notes,annotator,audit_date
713927,attribute,annotations/exp001_audit_images/00713927.png,Where is the painting displayed?,The image does not contain a painting.,Where is the photo taken?,Lodge.,the photo,,"[""the"", ""photo""]",,,,,,,,,
2393913,attribute,annotations/exp001_audit_images/02393913.png,Who is watching the lion?,The image does not contain a lion.,Who is watching the elephant?,Crowd of people.,the elephant,,"[""elephant's""]",,,,,,,,,
2394292,attribute,annotations/exp001_audit_images/02394292.png,What is the yellow foamy stuff?,The image does not contain any yellow foamy stuff.,What is the white foamy stuff?,Water.,the white foamy stuff,,"[""white""]",,,,,,,,,
2394806,attribute,annotations/exp001_audit_images/02394806.png,Where is the red car?,The image does not contain a red car.,Where is the black plane?,In the air.,the black plane,,"[""black"", ""plane""]",,,,,,,,,
2394848,attribute,annotations/exp001_audit_images/02394848.png,What is shown in the video?,The image does not contain any video content.,What is written on the picture?,Babe in the City - KL.,"written, picture",,"[""written"", ""picture""]",,,,,,,,,
2395587,attribute,annotations/exp001_audit_images/02395587.png,What is in the foreground?,The image does not contain any elements that are classified as being in the foreground.,What is in the background?,Island.,background,,"[""background""]",,,,,,,,,
2396016,attribute,annotations/exp001_audit_images/02396016.png,What has a colorful trailer?,The image does not contain a colorful trailer.,What has a long trailer?,Truck.,long trailer,,"[""long""]",,,,,,,,,
2396910,attribute,annotations/exp001_audit_images/02396910.png,What are the blue items on the wall?,The image does not contain any blue items.,What are the white items on the wall?,Urinals.,white items,,"[""white"", ""items""]",,,,,,,,,
2397551,attribute,annotations/exp001_audit_images/02397551.png,What is blue in color?,The image does not contain anything that is blue in color.,What is red in color?,Bench.,"What, red in color",,"[""red""]",,,,,,,,,
2400067,attribute,annotations/exp001_audit_images/02400067.png,How is the red vehicle facing?,The image does not contain a red vehicle.,How is the yellow vehicle facing?,Away from camera.,the yellow vehicle,,"[""yellow""]",,,,,,,,,
2400103,attribute,annotations/exp001_audit_images/02400103.png,Where are the blue curtains?,The image does not contain any blue curtains.,Where are the brown curtains?,Straight back on the picture.,the brown curtains,,"[""brown""]",,,,,,,,,
2400627,attribute,annotations/exp001_audit_images/02400627.png,What kind of chair is that?,The image does not contain a chair.,What kind of table is that?,A coffee table.,kind of table,,"[""table""]",,,,,,,,,
2400695,attribute,annotations/exp001_audit_images/02400695.png,What is the car's color?,1. The image does not contain any cars.,What is the train engines color?,Yellow and green.,train engines color,,"[""train""]",,,,,,,,,
