image_id,conflict_type,image_path,conflict_question,conflict_reference_answer,native_conflict_answer,intervention_conflict_answer,native_conflict_rule_stance,intervention_conflict_rule_stance,rule_proxy_transition,clean_question,clean_reference_answer,native_clean_answer,intervention_clean_answer,native_clean_reference_contained,intervention_clean_reference_contained,ai_native_conflict_correct,ai_intervention_conflict_correct,ai_conflict_action_effect,ai_native_clean_correct,ai_intervention_clean_correct,ai_clean_action_effect,ai_overall_action,ai_confidence,ai_notes,ai_review_protocol,human_confirmation,human_native_conflict_correct,human_intervention_conflict_correct,human_conflict_action_effect,human_native_clean_correct,human_intervention_clean_correct,human_clean_action_effect,human_overall_action,human_confidence,human_notes
150293,object,annotations/exp001_audit_images/00150293.png,How many boats can be seen?,The image does not contain any boats.,There are no boats visible in the image. The image shows an airplane flying over a cityscape.,There are no boats visible in the image.,reject_premise,reject_premise,both_success,How many engines can be seen?,2.,"The aircraft in the picture has two visible engines. One engine is located on the left wing, and the other is on the right wing.",The image shows two engines on the P-38 Lightning aircraft.,False,False,yes,yes,semantic_tie,yes,yes,semantic_tie,either,high,冲突分支=semantic_tie；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,,,,,,,,,,
713590,object,annotations/exp001_audit_images/00713590.png,Where does this event take place?,This image does not contain any specific event.,"This image depicts a cozy living room setting. The room features a brown armchair with a red cushion, a television mounted on the wall above a white cabinet,",living room,no_explicit_rejection,no_explicit_rejection,neither_success,Where does this scene take place?,In a living room.,"This scene appears to be set in a living room or a similar indoor space. The presence of a television, a fireplace, and comfortable seating suggests it is designed",living room,True,False,no,no,semantic_tie,yes,yes,semantic_tie,either,high,冲突分支=semantic_tie；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,,,,,,,,,,
1592318,object,annotations/exp001_audit_images/01592318.png,Where is that moment taken?,The image does not contain a specific moment or event.,"The image appears to be taken in Carlisle, as indicated by the destination sign on the bus. The bus is a Stagecoach service, and the route number","The image shows a bus on a street with buildings in the background, but it does not provide specific information about the location or time of day. Therefore, I",no_explicit_rejection,no_explicit_rejection,neither_success,Where is this scene taken?,Near the stagecoach bus.,"This scene appears to be taken in Carlisle, as indicated by the destination sign on the bus. The bus is a Stagecoach service, and the route number",Carlisle,False,False,no,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,low,冲突干预回答否认具体地点/时间但没有直接处理moment/event；干净回答Carlisle与参考near the bus粒度不同，保留uncertain。,exp003-paired-action-ai-prereview-v1,accept,,,,,,,,,Chen Xuhao reviewed and accepted all low/medium EXP-003 paired action semantic judgments on 2026-07-25.
2393697,object,annotations/exp001_audit_images/02393697.png,Who is looking at the painting?,The image does not contain any depiction of a painting being looked at.,"I am not sure who is looking at the painting. It can be seen as ""man"" or ""woman"".",There is no existence of a painting in the image information provided.,no_explicit_rejection,reject_premise,intervention_only_success,Who is looking at the woman?,The people sitting down.,"It is ambiguous who is looking at the woman. It can be seen that some people are looking at her, while others are not.",The people in the image are looking at the woman who is standing and holding a microphone.,False,False,no,yes,intervention_helps,yes,yes,semantic_tie,choose_intervention,medium,冲突分支=intervention_helps；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,accept,,,,,,,,,Chen Xuhao reviewed and accepted all low/medium EXP-003 paired action semantic judgments on 2026-07-25.
2394830,relation,annotations/exp001_audit_images/02394830.png,What color is the sky?,The image does not contain any depiction of the sky.,"The image does not show the sky; it only shows sheep in a grassy field. Therefore, I cannot determine the color of the sky from this image.",The sky is not visible in the image; it only shows green grass and sheep.,reject_premise,reject_premise,both_success,What color is the grass?,Green.,The grass in the picture is green.,The grass in the image is green.,True,True,yes,yes,semantic_tie,yes,yes,semantic_tie,either,high,冲突分支=semantic_tie；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,,,,,,,,,,
2395592,object,annotations/exp001_audit_images/02395592.png,Where is the letter S?,The image does not contain the letter S.,"The letter ""S"" is not visible in the image provided. The image shows a building with a clock tower and the word ""CADOGAN HALL""",The letter 'S' is not present in the image.,reject_premise,reject_premise,both_success,Where is the letter O?,On the building.,"The letter ""O"" is on the sign that reads ""CADOGAN HALL.""",The letter O is on the building.,False,True,yes,yes,semantic_tie,yes,yes,semantic_tie,either,high,冲突分支=semantic_tie；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,,,,,,,,,,
2395656,object,annotations/exp001_audit_images/02395656.png,What is on the side panel?,The image does not contain a side panel.,"The side panel of the airplane has the following text:

- ""N5347G"" (a registration number)
- ""ALASKA"" (",N5347G,no_explicit_rejection,no_explicit_rejection,neither_success,What is on the wheels?,Skis.,"The wheels of the airplane in the picture are equipped with skis, which are designed to allow the plane to land and take off on snow or ice surfaces.",snow,True,False,no,no,semantic_tie,yes,no,intervention_harms,choose_native,high,冲突仍回答虚构侧板编号；干净干预回答snow而参考为skis，倾向原生。,exp003-paired-action-ai-prereview-v1,accept,,,,,,,,,Chen Xuhao reviewed and accepted the second batch of eight high-confidence EXP-003 paired action judgments on 2026-07-25.
2395947,object,annotations/exp001_audit_images/02395947.png,Where is the painting taken?,The image does not contain a painting.,"I am not sure where the painting is taken. It can be in Africa, Kenya, or Tanzania.",Kenya,no_explicit_rejection,no_explicit_rejection,neither_success,Where is the picture taken?,Africa.,"The picture appears to be taken in a savanna or grassland area, likely in East Africa, given the presence of a giraffe and the mountain in the",Africa,True,True,no,no,semantic_tie,yes,yes,semantic_tie,either,high,冲突分支=semantic_tie；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,,,,,,,,,,
2396016,attribute,annotations/exp001_audit_images/02396016.png,What has a colorful trailer?,The image does not contain a colorful trailer.,"I am not sure what has a colorful trailer. It can be a truck, a trailer, or a car.",The truck in the image has a colorful trailer.,no_explicit_rejection,no_explicit_rejection,neither_success,What has a long trailer?,Truck.,The truck in the picture has a long trailer.,The truck in the image has a long trailer.,True,True,no,no,semantic_tie,yes,yes,semantic_tie,either,high,冲突分支=semantic_tie；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,,,,,,,,,,
2396109,object,annotations/exp001_audit_images/02396109.png,Where is the fern?,The image does not contain a fern.,There is no existence of a fern in the image description.,There is no existence of a fern in the image description.,reject_premise,reject_premise,both_success,Where is the moss?,Covering the log.,The moss is growing on the bark of the tree trunk in the image.,On the tree trunk.,False,False,yes,yes,semantic_tie,yes,yes,semantic_tie,either,high,冲突分支=semantic_tie；干净分支=semantic_tie。判断依据为已筛除问题样本后的官方参考与两动作回答核心语义，仍需人工结合图像确认。,exp003-paired-action-ai-prereview-v1,,,,,,,,,,
